id;first_name;last_name;telephone;birthday date ;place;parent_adress and tel;other info
1;carle;Jean1;111111111;30/10/2000;Yde1;Yde1 696979039;none
2;carle;Jean2;111111112;31/10/2000;Yde2;Yde1 696979040;none
3;carle;Jean3;111111113;01/11/2000;Yde3;Yde1 696979041;none
4;carle;Jean4;111111114;02/11/2000;Yde4;Yde1 696979042;none
5;carle;Jean5;111111115;03/11/2000;Yde5;Yde1 696979043;none
6;carle;Jean6;111111116;04/11/2000;Yde6;Yde1 696979044;none
7;carle;Jean7;111111117;05/11/2000;Yde7;Yde1 696979045;none
8;carle;Jean8;111111118;06/11/2000;Yde8;Yde1 696979046;none
9;carle;Jean9;111111119;07/11/2000;Yde9;Yde1 696979047;none
10;carle;Jean10;111111120;08/11/2000;Yde10;Yde1 696979048;none
11;carle;Jean11;111111121;09/11/2000;Yde11;Yde1 696979049;none
12;carle;Jean12;111111122;10/11/2000;Yde12;Yde1 696979050;none
13;carle;Jean13;111111123;11/11/2000;Yde13;Yde1 696979051;none
14;carle;Jean14;111111124;12/11/2000;Yde14;Yde1 696979052;none
15;carle;Jean15;111111125;13/11/2000;Yde15;Yde1 696979053;none
16;carle;Jean16;111111126;14/11/2000;Yde16;Yde1 696979054;none
17;carle;Jean17;111111127;15/11/2000;Yde17;Yde1 696979055;none
18;carle;Jean18;111111128;16/11/2000;Yde18;Yde1 696979056;none
19;carle;Jean19;111111129;17/11/2000;Yde19;Yde1 696979057;none
20;carle;Jean20;111111130;18/11/2000;Yde20;Yde1 696979058;none
21;carle;Jean21;111111131;19/11/2000;Yde21;Yde1 696979059;none
22;carle;Jean22;111111132;20/11/2000;Yde22;Yde1 696979060;none
23;carle;Jean23;111111133;21/11/2000;Yde23;Yde1 696979061;none
